Analyte (CAS No.),CAS No.,"Resident Soil
(mg/kg)",key,"Industrial Soil
(mg/kg)",key,"Resident Air
(ug/m3)",key,"Industrial Air
(ug/m3)",key,"Tapwater
(ug/L)",key,"MCL
(ug/L)","Risk-based
SSL
(mg/kg)",key,"MCL-based
SSL
(mg/kg)",Analyte
Acephate (30560-19-1),30560-19-1,7.6,n,98,n,        ,,        ,,2.4,n,,0.00053,n,,Acephate
Acetaldehyde (75-07-0),75-07-0,8.2,n,34,n,0.94,n,3.9,n,1.9,n,,0.00038,n,,Acetaldehyde
Acetochlor (34256-82-1),34256-82-1,130,n,1600,n,        ,,        ,,35,n,,0.028,n,,Acetochlor
Acetone (67-64-1),67-64-1,6100,n,67000,n,3200,n,14000,n,1400,n,,0.29,n,,Acetone
Acetone Cyanohydrin (75-86-5),75-86-5,280000,nm,1200000,nm,0.21,n,0.88,n,        ,,,        ,,,Acetone Cyanohydrin
Acetonitrile (75-05-8),75-05-8,81,n,340,n,6.3,n,26,n,13,n,,0.0026,n,,Acetonitrile
Acetophenone (98-86-2),98-86-2,780,n,12000,ns,        ,,        ,,190,n,,0.058,n,,Acetophenone
"Acetylaminofluorene, 2- (53-96-3)",53-96-3,0.14,c,0.6,c,0.0022,c,0.0094,c,0.016,c,,7.2E-05,c,,"Acetylaminofluorene, 2-"
Acrolein (107-02-8),107-02-8,0.014,n,0.06,n,0.0021,n,0.0088,n,0.0042,n,,8.4E-07,n,,Acrolein
Acrylamide (79-06-1),79-06-1,0.24,c*,4.6,c*,0.01,c*,0.12,c*,0.05,c*,,1.1E-05,c*,,Acrylamide
Acrylic Acid (79-10-7),79-10-7,9.9,n,42,n,0.1,n,0.44,n,0.21,n,,4.2E-05,n,,Acrylic Acid
Acrylonitrile (107-13-1),107-13-1,0.25,c**,1.1,c**,0.041,c**,0.18,c**,0.052,c**,,1.1E-05,c**,,Acrylonitrile
Adiponitrile (111-69-3),111-69-3,850000,nm,3600000,nm,0.63,n,2.6,n,        ,,,        ,,,Adiponitrile
Alachlor (15972-60-8),15972-60-8,9.7,c**,41,c*,        ,,        ,,1.1,c*,2,0.00087,c*,0.0016,Alachlor
Aldicarb (116-06-3),116-06-3,6.3,n,82,n,        ,,        ,,2,n,3,0.00049,n,0.00075,Aldicarb
Aldicarb Sulfone (1646-88-4),1646-88-4,6.3,n,82,n,        ,,        ,,2,n,2,0.00044,n,0.00044,Aldicarb Sulfone
Aldicarb sulfoxide (1646-87-3),1646-87-3,        ,,        ,,        ,,        ,,        ,,4,        ,,0.00088,Aldicarb sulfoxide
Aldrin (309-00-2),309-00-2,0.039,c**,0.18,c*,0.00057,c,0.0025,c,0.00092,c*,,0.00015,c*,,Aldrin
Allyl Alcohol (107-18-6),107-18-6,0.35,n,1.5,n,0.01,n,0.044,n,0.021,n,,4.2E-06,n,,Allyl Alcohol
Allyl Chloride (107-05-1),107-05-1,0.17,n,0.69,n,0.1,n,0.44,n,0.21,n,,6.7E-05,n,,Allyl Chloride
Aluminum (7429-90-5),7429-90-5,7700,n,110000,nm,0.52,n,2.2,n,2000,n,,3000,n,,Aluminum
Aluminum Phosphide (20859-73-8),20859-73-8,3.1,n,47,n,        ,,        ,,0.8,n,,        ,n,,Aluminum Phosphide
Ametryn (834-12-8),834-12-8,57,n,740,n,        ,,        ,,15,n,,0.016,n,,Ametryn
"Aminobiphenyl, 4- (92-67-1)",92-67-1,0.026,c,0.11,c,0.00047,c,0.002,c,0.003,c,,1.5E-05,c,,"Aminobiphenyl, 4-"
"Aminophenol, m- (591-27-5)",591-27-5,510,n,6600,n,        ,,        ,,160,n,,0.061,n,,"Aminophenol, m-"
"Aminophenol, o- (95-55-6)",95-55-6,25,n,330,n,        ,,        ,,7.9,n,,0.003,n,,"Aminophenol, o-"
"Aminophenol, p- (123-30-8)",123-30-8,130,n,1600,n,        ,,        ,,40,n,,0.015,n,,"Aminophenol, p-"
Amitraz (33089-61-1),33089-61-1,16,n,210,n,        ,,        ,,0.82,n,,0.42,n,,Amitraz
Ammonia (7664-41-7),7664-41-7,        ,,        ,,52,n,220,n,        ,,,        ,,,Ammonia
Ammonium Sulfamate (7773-06-0),7773-06-0,1600,n,23000,n,        ,,        ,,400,n,,        ,n,,Ammonium Sulfamate
"Amyl Alcohol, tert- (75-85-4)",75-85-4,8.2,n,34,n,0.31,n,1.3,n,0.63,n,,0.00013,n,,"Amyl Alcohol, tert-"
Aniline (62-53-3),62-53-3,44,n,400,c**,0.1,n,0.44,n,13,c**,,0.0046,c**,,Aniline
"Anthraquinone, 9,10- (84-65-1)",84-65-1,13,n,57,c**,        ,,        ,,1.4,c**,,0.014,c**,,"Anthraquinone, 9,10-"
Antimony (metallic) (7440-36-0),7440-36-0,3.1,n,47,n,        ,,        ,,0.78,n,6,0.035,n,0.27,Antimony (metallic)
Antimony Pentoxide (1314-60-9),1314-60-9,3.9,n,58,n,        ,,        ,,0.97,n,,        ,n,,Antimony Pentoxide
Antimony Tetroxide (1332-81-6),1332-81-6,3.1,n,47,n,        ,,        ,,0.78,n,,        ,n,,Antimony Tetroxide
Antimony Trioxide (1309-64-4),1309-64-4,28000,n,120000,nm,0.021,n,0.088,n,        ,,,        ,,,Antimony Trioxide
"Arsenic, Inorganic (7440-38-2)",7440-38-2,0.68,c**R,3,c*R,0.00065,c**,0.0029,c**,0.052,c*,10,0.0015,c*,0.29,"Arsenic, Inorganic"
