Analyte (CAS No.),CAS No.,"Resident Soil
(mg/kg)",key,"Industrial Soil
(mg/kg)",key,"Resident Air
(ug/m3)",key,"Industrial Air
(ug/m3)",key,"Tapwater
(ug/L)",key,"MCL
(ug/L)","Risk-based
SSL
(mg/kg)",key,"MCL-based
SSL
(mg/kg)",Analyte
"Dimethylhydrazine, 1,2- (540-73-8)",540-73-8,0.00088,c,0.0041,c,1.8E-05,c,7.7E-05,c,2.8E-05,c,,6.5E-09,c,,"Dimethylhydrazine, 1,2-"
"Dimethylphenol, 2,4- (105-67-9)",105-67-9,130,n,1600,n,        ,,        ,,36,n,,0.042,n,,"Dimethylphenol, 2,4-"
"Dimethylphenol, 2,6- (576-26-1)",576-26-1,3.8,n,49,n,        ,,        ,,1.1,n,,0.0013,n,,"Dimethylphenol, 2,6-"
"Dimethylphenol, 3,4- (95-65-8)",95-65-8,6.3,n,82,n,        ,,        ,,1.8,n,,0.0021,n,,"Dimethylphenol, 3,4-"
Dimethylvinylchloride (513-37-1),513-37-1,1.1,c,4.8,c,0.22,c,0.94,c,0.33,c,,0.00011,c,,Dimethylvinylchloride
"Dinitrobenzene, 1,2- (528-29-0)",528-29-0,0.63,n,8.2,n,        ,,        ,,0.19,n,,0.00018,n,,"Dinitrobenzene, 1,2-"
"Dinitrobenzene, 1,3- (99-65-0)",99-65-0,0.63,n,8.2,n,        ,,        ,,0.2,n,,0.00018,n,,"Dinitrobenzene, 1,3-"
"Dinitrobenzene, 1,4- (100-25-4)",100-25-4,0.63,n,8.2,n,        ,,        ,,0.2,n,,0.00018,n,,"Dinitrobenzene, 1,4-"
"Dinitro-o-cresol, 4,6- (534-52-1)",534-52-1,0.51,n,6.6,n,        ,,        ,,0.15,n,,0.00026,n,,"Dinitro-o-cresol, 4,6-"
"Dinitro-o-cyclohexyl Phenol, 4,6- (131-89-5)",131-89-5,13,n,160,n,        ,,        ,,2.3,n,,0.077,n,,"Dinitro-o-cyclohexyl Phenol, 4,6-"
"Dinitrophenol, 2,4- (51-28-5)",51-28-5,13,n,160,n,        ,,        ,,3.9,n,,0.0044,n,,"Dinitrophenol, 2,4-"
"Dinitrotoluene Mixture, 2,4/2,6- (E1615210)",E1615210,0.8,c,3.4,c,        ,,        ,,0.11,c,,0.00015,c,,"Dinitrotoluene Mixture, 2,4/2,6-"
"Dinitrotoluene, 2,4- (121-14-2)",121-14-2,1.7,c**,7.4,c*,0.032,c,0.14,c,0.24,c*,,0.00032,c*,,"Dinitrotoluene, 2,4-"
"Dinitrotoluene, 2,6- (606-20-2)",606-20-2,0.36,c**,1.5,c*,        ,,        ,,0.049,c*,,6.7E-05,c*,,"Dinitrotoluene, 2,6-"
"Dinitrotoluene, 2-Amino-4,6- (35572-78-2)",35572-78-2,15,n,230,n,        ,,        ,,3.9,n,,0.003,n,,"Dinitrotoluene, 2-Amino-4,6-"
"Dinitrotoluene, 4-Amino-2,6- (19406-51-0)",19406-51-0,15,n,230,n,        ,,        ,,3.9,n,,0.003,n,,"Dinitrotoluene, 4-Amino-2,6-"
"Dinitrotoluene, Technical grade (25321-14-6)",25321-14-6,1.2,c**,5.1,c*,        ,,        ,,0.1,c*,,0.00014,c*,,"Dinitrotoluene, Technical grade"
Dinoseb (88-85-7),88-85-7,6.3,n,82,n,        ,,        ,,1.5,n,7,0.013,n,0.062,Dinoseb
"Dioxane, 1,4- (123-91-1)",123-91-1,5.3,c*,24,c*,0.56,c**,2.5,c**,0.46,c*,,9.4E-05,c*,,"Dioxane, 1,4-"
Diphenamid (957-51-7),957-51-7,190,n,2500,n,        ,,        ,,53,n,,0.52,n,,Diphenamid
Diphenyl Ether (101-84-8),101-84-8,3.4,n,14,n,0.042,n,0.18,n,0.083,n,,0.00034,n,,Diphenyl Ether
Diphenyl Sulfone (127-63-9),127-63-9,5.1,n,66,n,        ,,        ,,1.5,n,,0.0036,n,,Diphenyl Sulfone
Diphenylamine (122-39-4),122-39-4,630,n,8200,n,        ,,        ,,130,n,,0.23,n,,Diphenylamine
"Diphenylhydrazine, 1,2- (122-66-7)",122-66-7,0.68,c,2.9,c,0.013,c,0.056,c,0.078,c,,0.00025,c,,"Diphenylhydrazine, 1,2-"
Diquat (85-00-7),85-00-7,14,n,180,n,        ,,        ,,4.4,n,20,0.083,n,0.37,Diquat
Direct Black 38 (1937-37-7),1937-37-7,0.076,c,0.32,c,2E-05,c,8.8E-05,c,0.011,c,,5.3,c,,Direct Black 38
Direct Blue 6 (2602-46-2),2602-46-2,0.073,c,0.31,c,2E-05,c,8.8E-05,c,0.011,c,,17,c,,Direct Blue 6
Direct Brown 95 (16071-86-6),16071-86-6,0.081,c,0.34,c,2E-05,c,8.8E-05,c,0.012,c,,0.16,c,,Direct Brown 95
Disulfoton (298-04-4),298-04-4,0.25,n,3.3,n,        ,,        ,,0.05,n,,9.4E-05,n,,Disulfoton
"Dithiane, 1,4- (505-29-3)",505-29-3,78,n,1200,n,        ,,        ,,20,n,,0.0097,n,,"Dithiane, 1,4-"
Diuron (330-54-1),330-54-1,13,n,160,n,        ,,        ,,3.6,n,,0.0015,n,,Diuron
Dodine (2439-10-3),2439-10-3,130,n,1600,n,        ,,        ,,40,n,,0.21,n,,Dodine
Endosulfan (115-29-7),115-29-7,47,n,700,n,        ,,        ,,10,n,,0.14,n,,Endosulfan
Endothall (145-73-3),145-73-3,130,n,1600,n,        ,,        ,,38,n,100,0.0091,n,0.024,Endothall
Endrin (72-20-8),72-20-8,1.9,n,25,n,        ,,        ,,0.23,n,2,0.0092,n,0.081,Endrin
Epichlorohydrin (106-89-8),106-89-8,1.9,n,8.2,n,0.1,n,0.44,n,0.2,n,,4.5E-05,n,,Epichlorohydrin
"Epoxybutane, 1,2- (106-88-7)",106-88-7,16,n,67,n,2.1,n,8.8,n,4.2,n,,0.00092,n,,"Epoxybutane, 1,2-"
EPTC (759-94-4),759-94-4,390,n,5800,n,        ,,        ,,75,n,,0.04,n,,EPTC
"Ethanol, 2-(2-methoxyethoxy)- (111-77-3)",111-77-3,250,n,3300,n,        ,,        ,,80,n,,0.016,n,,"Ethanol, 2-(2-methoxyethoxy)-"
Ethephon (16672-87-0),16672-87-0,32,n,410,n,        ,,        ,,10,n,,0.0021,n,,Ethephon
Ethion (563-12-2),563-12-2,3.2,n,41,n,        ,,        ,,0.43,n,,0.00085,n,,Ethion
"Ethoxyethanol Acetate, 2- (111-15-9)",111-15-9,260,n,1400,n,6.3,n,26,n,12,n,,0.0025,n,,"Ethoxyethanol Acetate, 2-"
"Ethoxyethanol, 2- (110-80-5)",110-80-5,520,n,4700,n,21,n,88,n,34,n,,0.0068,n,,"Ethoxyethanol, 2-"
Ethyl Acetate (141-78-6),141-78-6,62,n,260,n,7.3,n,31,n,14,n,,0.0031,n,,Ethyl Acetate
Ethyl Acrylate (140-88-5),140-88-5,4.7,n,21,n,0.83,n,3.5,n,1.4,n,,0.00032,n,,Ethyl Acrylate
Ethyl Chloride (Chloroethane) (75-00-3),75-00-3,1400,n,5700,ns,1000,n,4400,n,2100,n,,0.59,n,,Ethyl Chloride (Chloroethane)
Ethyl Ether (60-29-7),60-29-7,1600,n,23000,ns,        ,,        ,,390,n,,0.088,n,,Ethyl Ether
Ethyl Methacrylate (97-63-2),97-63-2,180,n,760,n,31,n,130,n,63,n,,0.015,n,,Ethyl Methacrylate
Ethylbenzene (100-41-4),100-41-4,5.8,c*,25,c*,1.1,c*,4.9,c*,1.5,c*,700,0.0017,c*,0.78,Ethylbenzene
Ethylene Cyanohydrin (109-78-4),109-78-4,440,n,5700,n,        ,,        ,,140,n,,0.028,n,,Ethylene Cyanohydrin
Ethylene Diamine (107-15-3),107-15-3,700,n,11000,n,        ,,        ,,180,n,,0.041,n,,Ethylene Diamine
Ethylene Glycol (107-21-1),107-21-1,13000,n,160000,nm,42,n,180,n,4000,n,,0.81,n,,Ethylene Glycol
Ethylene Glycol Monobutyl Ether (111-76-2),111-76-2,630,n,8200,n,170,n,700,n,200,n,,0.041,n,,Ethylene Glycol Monobutyl Ether
Ethylene Oxide (75-21-8),75-21-8,0.002,c,0.025,c,0.00034,c,0.0041,c,0.00067,c,,1.4E-07,c,,Ethylene Oxide
Ethylene Thiourea (96-45-7),96-45-7,0.51,n,6.6,n,0.22,c,0.94,c,0.16,n,,3.6E-05,n,,Ethylene Thiourea
Ethyleneimine (151-56-4),151-56-4,0.0027,c,0.012,c,0.00015,c,0.00065,c,0.00024,c,,5.2E-08,c,,Ethyleneimine
Ethylphthalyl Ethyl Glycolate (84-72-0),84-72-0,19000,n,250000,nm,        ,,        ,,5800,n,,13,n,,Ethylphthalyl Ethyl Glycolate
Ethyl-p-nitrophenyl Phosphonate (2104-64-5),2104-64-5,0.063,n,0.82,n,        ,,        ,,0.0089,n,,0.00028,n,,Ethyl-p-nitrophenyl Phosphonate
Fenamiphos (22224-92-6),22224-92-6,1.6,n,21,n,        ,,        ,,0.44,n,,0.00043,n,,Fenamiphos
Fenpropathrin (39515-41-8),39515-41-8,160,n,2100,n,        ,,        ,,6.4,n,,0.29,n,,Fenpropathrin
Fenvalerate (51630-58-1),51630-58-1,160,n,2100,n,        ,,        ,,50,n,,32,n,,Fenvalerate
Fluometuron (2164-17-2),2164-17-2,82,n,1100,n,        ,,        ,,24,n,,0.019,n,,Fluometuron
Fluoride (16984-48-8),16984-48-8,310,n,4700,n,1.4,n,5.7,n,80,n,4000,12,n,600,Fluoride
Fluorine (Soluble Fluoride) (7782-41-4),7782-41-4,470,n,7000,n,1.4,n,5.7,n,120,n,4000,18,n,600,Fluorine (Soluble Fluoride)
Fluridone (59756-60-4),59756-60-4,510,n,6600,n,        ,,        ,,140,n,,16,n,,Fluridone
Flurprimidol (56425-91-3),56425-91-3,250,n,3300,n,        ,,        ,,69,n,,0.31,n,,Flurprimidol
Flusilazole (85509-19-9),85509-19-9,13,n,160,n,        ,,        ,,3.1,n,,0.51,n,,Flusilazole
Flutolanil (66332-96-5),66332-96-5,3200,n,41000,n,        ,,        ,,790,n,,4.2,n,,Flutolanil
Fluvalinate (69409-94-5),69409-94-5,63,n,820,n,        ,,        ,,20,n,,29,n,,Fluvalinate
Folpet (133-07-3),133-07-3,570,n,7400,n,        ,,        ,,160,n,,0.039,n,,Folpet
Fomesafen (72178-02-0),72178-02-0,16,n,210,n,        ,,        ,,4.8,n,,0.016,n,,Fomesafen
Fonofos (944-22-9),944-22-9,13,n,160,n,        ,,        ,,2.4,n,,0.0047,n,,Fonofos
Formaldehyde (50-00-0),50-00-0,17,c**,73,c**,0.22,c**,0.94,c**,0.43,c**,,8.7E-05,c**,,Formaldehyde
Formic Acid (64-18-6),64-18-6,2.9,n,12,n,0.031,n,0.13,n,0.063,n,,1.3E-05,n,,Formic Acid
Fosetyl-AL (39148-24-8),39148-24-8,16000,n,210000,nm,        ,,        ,,5000,n,,66,n,,Fosetyl-AL
Furazolidone (67-45-8),67-45-8,0.14,c,0.6,c,        ,,        ,,0.02,c,,3.9E-05,c,,Furazolidone
Furfural (98-01-1),98-01-1,21,n,260,n,5.2,n,22,n,3.8,n,,0.00081,n,,Furfural
Furium (531-82-8),531-82-8,0.36,c,1.5,c,0.0065,c,0.029,c,0.051,c,,6.8E-05,c,,Furium
Furmecyclox (60568-05-0),60568-05-0,18,c,77,c,0.33,c,1.4,c,1.1,c,,0.0012,c,,Furmecyclox
"Glufosinate, Ammonium (77182-82-2)",77182-82-2,38,n,490,n,        ,,        ,,12,n,,0.0026,n,,"Glufosinate, Ammonium"
Glutaraldehyde (111-30-8),111-30-8,600,n,7000,n,0.0083,n,0.035,n,200,n,,0.04,n,,Glutaraldehyde
Glycidyl (765-34-4),765-34-4,2.3,n,21,n,0.1,n,0.44,n,0.17,n,,3.3E-05,n,,Glycidyl
Glyphosate (1071-83-6),1071-83-6,630,n,8200,n,        ,,        ,,200,n,700,0.88,n,3.1,Glyphosate
Guanidine (113-00-8),113-00-8,78,n,1200,n,        ,,        ,,20,n,,0.0045,n,,Guanidine
Guanidine Chloride (50-01-1),50-01-1,130,n,1600,n,        ,,        ,,40,n,,        ,n,,Guanidine Chloride
Guanidine Nitrate (506-93-4),506-93-4,190,n,2500,n,        ,,        ,,60,n,,0.015,n,,Guanidine Nitrate
"Haloxyfop, Methyl (69806-40-2)",69806-40-2,0.32,n,4.1,n,        ,,        ,,0.076,n,,0.00084,n,,"Haloxyfop, Methyl"
Heptachlor (76-44-8),76-44-8,0.13,c*,0.63,c*,0.0022,c,0.0094,c,0.0014,c*,0.4,0.00012,c*,0.033,Heptachlor
Heptachlor Epoxide (1024-57-3),1024-57-3,0.07,c**,0.33,c**,0.0011,c,0.0047,c,0.0014,c**,0.2,2.8E-05,c**,0.0041,Heptachlor Epoxide
"Heptanal, n- (111-71-7)",111-71-7,2.4,n,10,n,0.31,n,1.3,n,0.63,n,,0.00014,n,,"Heptanal, n-"
"Heptane, N- (142-82-5)",142-82-5,2.2,n,29,n,42,n,180,n,0.6,n,,0.0048,n,,"Heptane, N-"
Hexabromobenzene (87-82-1),87-82-1,16,n,230,n,        ,,        ,,4,n,,0.023,n,,Hexabromobenzene
"Hexabromodiphenyl ether, 2,2',4,4',5,5'- (BDE-153) (68631-49-2)",68631-49-2,1.3,n,16,n,        ,,        ,,0.4,n,,        ,n,,"Hexabromodiphenyl ether, 2,2',4,4',5,5'- (BDE-153)"
Hexachlorobenzene (118-74-1),118-74-1,0.21,c*,0.96,c*,0.0061,c,0.027,c,0.0098,c,1,0.00012,c,0.013,Hexachlorobenzene
Hexachlorobutadiene (87-68-3),87-68-3,1.2,c**,5.3,c*,0.13,c,0.56,c,0.14,c**,,0.00027,c**,,Hexachlorobutadiene
"Hexachlorocyclohexane, Alpha- (319-84-6)",319-84-6,0.086,c,0.36,c,0.0016,c,0.0068,c,0.0072,c,,4.2E-05,c,,"Hexachlorocyclohexane, Alpha-"
"Hexachlorocyclohexane, Beta- (319-85-7)",319-85-7,0.3,c,1.3,c,0.0053,c,0.023,c,0.025,c,,0.00015,c,,"Hexachlorocyclohexane, Beta-"
"Hexachlorocyclohexane, Gamma- (Lindane) (58-89-9)",58-89-9,0.57,c**,2.5,c*,0.0091,c,0.04,c,0.042,c**,0.2,0.00024,c**,0.0012,"Hexachlorocyclohexane, Gamma- (Lindane)"
"Hexachlorocyclohexane, Technical (608-73-1)",608-73-1,0.3,c,1.3,c,0.0055,c,0.024,c,0.025,c,,0.00015,c,,"Hexachlorocyclohexane, Technical"
Hexachlorocyclopentadiene (77-47-4),77-47-4,0.18,n,0.75,n,0.021,n,0.088,n,0.041,n,50,0.00013,n,0.16,Hexachlorocyclopentadiene
Hexachloroethane (67-72-1),67-72-1,1.8,c**,8,c**,0.26,c*,1.1,c*,0.33,c**,,0.0002,c**,,Hexachloroethane
Hexachlorophene (70-30-4),70-30-4,1.9,n,25,n,        ,,        ,,0.6,n,,0.8,n,,Hexachlorophene
"Hexahydro-1,3,5-trinitro-1,3,5-triazine (RDX) (121-82-4)",121-82-4,6.1,c**,28,c*,        ,,        ,,0.7,c**,,0.00027,c**,,"Hexahydro-1,3,5-trinitro-1,3,5-triazine (RDX)"
"Hexamethylene Diisocyanate, 1,6- (822-06-0)",822-06-0,0.31,n,1.3,n,0.001,n,0.0044,n,0.0021,n,,2.1E-05,n,,"Hexamethylene Diisocyanate, 1,6-"
Hexamethylphosphoramide (680-31-9),680-31-9,2.5,n,33,n,        ,,        ,,0.8,n,,0.00018,n,,Hexamethylphosphoramide
"Hexane, N- (110-54-3)",110-54-3,61,n,250,ns,73,n,310,n,150,n,,1,n,,"Hexane, N-"
Hexanedioic Acid (124-04-9),124-04-9,13000,n,160000,nm,        ,,        ,,4000,n,,0.99,n,,Hexanedioic Acid
"Hexanone, 2- (591-78-6)",591-78-6,20,n,130,n,3.1,n,13,n,3.8,n,,0.00088,n,,"Hexanone, 2-"
Hexazinone (51235-04-2),51235-04-2,210,n,2700,n,        ,,        ,,64,n,,0.03,n,,Hexazinone
Hexythiazox (78587-05-0),78587-05-0,160,n,2100,n,        ,,        ,,11,n,,0.05,n,,Hexythiazox
Hydramethylnon (67485-29-4),67485-29-4,110,n,1400,n,        ,,        ,,34,n,,12000,n,,Hydramethylnon
Hydrazine (302-01-2),302-01-2,0.032,c**,0.14,c**,0.00057,c**,0.0025,c**,0.0011,c**,,2.2E-07,c**,,Hydrazine
Hydrazine Sulfate (10034-93-2),10034-93-2,0.23,c,1.1,c,0.00057,c,0.0025,c,0.026,c,,        ,c,,Hydrazine Sulfate
Hydrogen Chloride (7647-01-0),7647-01-0,2800000,nm,12000000,nm,2.1,n,8.8,n,4.2,n,,        ,n,,Hydrogen Chloride
Hydrogen Fluoride (7664-39-3),7664-39-3,310,n,4700,n,1.5,n,6.1,n,2.8,n,,        ,n,,Hydrogen Fluoride
Hydrogen Sulfide (7783-06-4),7783-06-4,280000,nm,1200000,nm,0.21,n,0.88,n,0.42,n,,        ,n,,Hydrogen Sulfide
Hydroquinone (123-31-9),123-31-9,9,c*,38,c*,        ,,        ,,1.3,c*,,0.00087,c*,,Hydroquinone
Imazalil (35554-44-0),35554-44-0,8.9,c**,38,c**,        ,,        ,,0.9,c**,,0.015,c**,,Imazalil
Imazaquin (81335-37-7),81335-37-7,1600,n,21000,n,        ,,        ,,490,n,,2.4,n,,Imazaquin
Imazethapyr (81335-77-5),81335-77-5,16000,n,210000,nm,        ,,        ,,4700,n,,4.1,n,,Imazethapyr
Iodine (7553-56-2),7553-56-2,78,n,1200,n,        ,,        ,,20,n,,1.2,n,,Iodine
Iprodione (36734-19-7),36734-19-7,250,n,3300,n,        ,,        ,,74,n,,0.022,n,,Iprodione
Iron (7439-89-6),7439-89-6,5500,n,82000,n,        ,,        ,,1400,n,,35,n,,Iron
Isobutyl Alcohol (78-83-1),78-83-1,2300,n,35000,ns,        ,,        ,,590,n,,0.12,n,,Isobutyl Alcohol
Isophorone (78-59-1),78-59-1,570,c**,2400,c**,210,n,880,n,78,c**,,0.026,c**,,Isophorone
Isopropalin (33820-53-0),33820-53-0,120,n,1800,n,        ,,        ,,4,n,,0.092,n,,Isopropalin
Isopropanol (67-63-0),67-63-0,560,n,2400,n,21,n,88,n,41,n,,0.0084,n,,Isopropanol
Isopropyl Methyl Phosphonic Acid (1832-54-8),1832-54-8,630,n,8200,n,        ,,        ,,200,n,,0.043,n,,Isopropyl Methyl Phosphonic Acid
Isoxaben (82558-50-7),82558-50-7,320,n,4100,n,        ,,        ,,73,n,,0.2,n,,Isoxaben
JP-7 (E1737665),E1737665,43000000,nm,180000000,nm,31,n,130,n,63,n,,        ,n,,JP-7
Lactofen (77501-63-4),77501-63-4,51,n,660,n,        ,,        ,,10,n,,0.46,n,,Lactofen
Lactonitrile (78-97-7),78-97-7,1.3,n,16,n,        ,,        ,,0.4,n,,8.1E-05,n,,Lactonitrile
Lewisite (541-25-3),541-25-3,0.039,n,0.58,n,        ,,        ,,0.009,n,,3.8E-06,n,,Lewisite
Linuron (330-55-2),330-55-2,49,n,630,n,        ,,        ,,13,n,,0.011,n,,Linuron
Lithium (7439-93-2),7439-93-2,16,n,230,n,        ,,        ,,4,n,,1.2,n,,Lithium
Malathion (121-75-5),121-75-5,130,n,1600,n,        ,,        ,,39,n,,0.01,n,,Malathion
Maleic Anhydride (108-31-6),108-31-6,630,n,8000,n,0.073,n,0.31,n,190,n,,0.038,n,,Maleic Anhydride
Maleic Hydrazide (123-33-1),123-33-1,3200,n,41000,n,        ,,        ,,1000,n,,0.21,n,,Maleic Hydrazide
Malononitrile (109-77-3),109-77-3,0.63,n,8.2,n,        ,,        ,,0.2,n,,4.1E-05,n,,Malononitrile
Mancozeb (8018-01-7),8018-01-7,190,n,2500,n,        ,,        ,,54,n,,0.076,n,,Mancozeb
Maneb (12427-38-2),12427-38-2,32,n,410,n,        ,,        ,,9.8,n,,0.014,n,,Maneb
Manganese (Diet) (7439-96-5),7439-96-5,        ,,        ,,        ,,        ,,        ,,,        ,,,Manganese (Diet)
Manganese (Non-diet) (7439-96-5),7439-96-5,180,n,2600,n,0.0052,n,0.022,n,43,n,,2.8,n,,Manganese (Non-diet)
MCPA (94-74-6),94-74-6,3.2,n,41,n,        ,,        ,,0.75,n,,0.0002,n,,MCPA
MCPB (94-81-5),94-81-5,28,n,360,n,        ,,        ,,6.5,n,,0.0026,n,,MCPB
MCPP (93-65-2),93-65-2,6.3,n,82,n,        ,,        ,,1.6,n,,0.00047,n,,MCPP
Mephosfolan (950-10-7),950-10-7,0.57,n,7.4,n,        ,,        ,,0.18,n,,0.00026,n,,Mephosfolan
Mepiquat Chloride (24307-26-4),24307-26-4,190,n,2500,n,        ,,        ,,60,n,,0.02,n,,Mepiquat Chloride
"Mercaptobenzothiazole, 2- (149-30-4)",149-30-4,25,n,210,c**,        ,,        ,,6.3,c**,,0.018,c**,,"Mercaptobenzothiazole, 2-"
Merphos (150-50-5),150-50-5,0.23,n,3.5,n,        ,,        ,,0.06,n,,0.0059,n,,Merphos
Merphos Oxide (78-48-8),78-48-8,0.63,n,8.2,n,        ,,        ,,0.028,n,,0.00014,n,,Merphos Oxide
Metalaxyl (57837-19-1),57837-19-1,380,n,4900,n,        ,,        ,,120,n,,0.033,n,,Metalaxyl
Methacrylonitrile (126-98-7),126-98-7,0.75,n,10,n,3.1,n,13,n,0.19,n,,4.3E-05,n,,Methacrylonitrile
Methamidophos (10265-92-6),10265-92-6,0.32,n,4.1,n,        ,,        ,,0.1,n,,2.1E-05,n,,Methamidophos
Methanol (67-56-1),67-56-1,12000,n,120000,nms,2100,n,8800,n,2000,n,,0.41,n,,Methanol
Methidathion (950-37-8),950-37-8,9.5,n,120,n,        ,,        ,,2.9,n,,0.00071,n,,Methidathion
Methomyl (16752-77-5),16752-77-5,160,n,2100,n,        ,,        ,,50,n,,0.011,n,,Methomyl
"Methoxy-5-nitroaniline, 2- (99-59-2)",99-59-2,11,c,47,c,0.2,c,0.88,c,1.5,c,,0.00053,c,,"Methoxy-5-nitroaniline, 2-"
Methoxychlor (72-43-5),72-43-5,32,n,410,n,        ,,        ,,3.7,n,40,0.2,n,2.2,Methoxychlor
"Methoxyethanol Acetate, 2- (110-49-6)",110-49-6,11,n,51,n,0.1,n,0.44,n,0.21,n,,4.2E-05,n,,"Methoxyethanol Acetate, 2-"
"Methoxyethanol, 2- (109-86-4)",109-86-4,33,n,350,n,2.1,n,8.8,n,2.9,n,,0.00059,n,,"Methoxyethanol, 2-"
Methyl Acetate (79-20-9),79-20-9,7800,n,120000,nms,        ,,        ,,2000,n,,0.41,n,,Methyl Acetate
Methyl Acrylate (96-33-3),96-33-3,15,n,61,n,2.1,n,8.8,n,4.2,n,,0.00089,n,,Methyl Acrylate
Methyl Ethyl Ketone (2-Butanone) (78-93-3),78-93-3,2700,n,19000,n,520,n,2200,n,560,n,,0.12,n,,Methyl Ethyl Ketone (2-Butanone)
Methyl Hydrazine (60-34-4),60-34-4,0.1,n,0.44,n,0.0021,n,0.0088,n,0.0042,n,,9.4E-07,n,,Methyl Hydrazine
Methyl Isobutyl Ketone (4-methyl-2-pentanone) (108-10-1),108-10-1,3300,n,14000,ns,310,n,1300,n,630,n,,0.14,n,,Methyl Isobutyl Ketone (4-methyl-2-pentanone)
Methyl Isocyanate (624-83-9),624-83-9,0.46,n,1.9,n,0.1,n,0.44,n,0.21,n,,5.9E-05,n,,Methyl Isocyanate
Methyl Methacrylate (80-62-6),80-62-6,440,n,1900,n,73,n,310,n,140,n,,0.03,n,,Methyl Methacrylate
Methyl methanesulfonate (66-27-3),66-27-3,5.5,c,23,c,0.1,c,0.44,c,0.79,c,,0.00016,c,,Methyl methanesulfonate
Methyl Parathion (298-00-0),298-00-0,1.6,n,21,n,        ,,        ,,0.45,n,,0.00074,n,,Methyl Parathion
Methyl Phosphonic Acid (993-13-5),993-13-5,380,n,4900,n,        ,,        ,,120,n,,0.024,n,,Methyl Phosphonic Acid
Methyl Styrene (Mixed Isomers) (25013-15-4),25013-15-4,32,n,260,n,4.2,n,18,n,2.3,n,,0.0038,n,,Methyl Styrene (Mixed Isomers)
Methyl tert-Butyl Ether (MTBE) (1634-04-4),1634-04-4,47,c*,210,c*,11,c*,47,c*,14,c*,,0.0032,c*,,Methyl tert-Butyl Ether (MTBE)
"Methyl-1,4-benzenediamine dihydrochloride, 2- (615-45-2)",615-45-2,1.9,n,25,n,        ,,        ,,0.6,n,,0.00036,n,,"Methyl-1,4-benzenediamine dihydrochloride, 2-"
"Methyl-2-Pentanol, 4- (108-11-2)",108-11-2,5400,ns,23000,ns,310,n,1300,n,630,n,,0.14,n,,"Methyl-2-Pentanol, 4-"
"Methyl-5-Nitroaniline, 2- (99-55-8)",99-55-8,60,c**,260,c**,        ,,        ,,8.2,c**,,0.0046,c**,,"Methyl-5-Nitroaniline, 2-"
"Methylaniline Hydrochloride, 2- (636-21-5)",636-21-5,4.2,c,18,c,0.076,c,0.33,c,0.6,c,,0.00026,c,,"Methylaniline Hydrochloride, 2-"
Methylarsonic acid (124-58-3),124-58-3,63,n,820,n,        ,,        ,,20,n,,0.0058,n,,Methylarsonic acid
"Methylbenzene,1-4-diamine monohydrochloride, 2- (74612-12-7)",74612-12-7,1.3,n,16,n,        ,,        ,,0.4,n,,        ,n,,"Methylbenzene,1-4-diamine monohydrochloride, 2-"
"Methylbenzene-1,4-diamine sulfate, 2- (615-50-9)",615-50-9,1.9,n,23,c**,        ,,        ,,0.6,n,,        ,n,,"Methylbenzene-1,4-diamine sulfate, 2-"
"Methylcholanthrene, 3- (56-49-5)",56-49-5,0.0055,c,0.1,c,0.00016,c,0.0019,c,0.0011,c,,0.0022,c,,"Methylcholanthrene, 3-"
Methylene Chloride (75-09-2),75-09-2,35,n,320,n,63,n,260,n,11,n,5,0.0027,n,0.0013,Methylene Chloride
"Methylene-bis(2-chloroaniline), 4,4'- (101-14-4)",101-14-4,1.2,c*,23,c**,0.0024,c,0.029,c,0.16,c*,,0.0018,c*,,"Methylene-bis(2-chloroaniline), 4,4'-"
"Methylene-bis(N,N-dimethyl) Aniline, 4,4'- (101-61-1)",101-61-1,12,c,50,c,0.22,c,0.94,c,0.48,c,,0.0026,c,,"Methylene-bis(N,N-dimethyl) Aniline, 4,4'-"
"Methylenebisbenzenamine, 4,4'- (101-77-9)",101-77-9,0.34,c,1.4,c,0.0061,c,0.027,c,0.047,c,,0.00021,c,,"Methylenebisbenzenamine, 4,4'-"
Methylenediphenyl Diisocyanate (101-68-8),101-68-8,85000,n,360000,nm,0.063,n,0.26,n,        ,,,        ,,,Methylenediphenyl Diisocyanate
"Methyl-N-nitro-N-nitrosoguanidine, N- (70-25-7)",70-25-7,0.065,c,0.28,c,0.0012,c,0.0051,c,0.0094,c,,3.2E-06,c,,"Methyl-N-nitro-N-nitrosoguanidine, N-"
"Methylstyrene, Alpha- (98-83-9)",98-83-9,550,ns,8200,ns,        ,,        ,,78,n,,0.12,n,,"Methylstyrene, Alpha-"
Metolachlor (51218-45-2),51218-45-2,950,n,12000,n,        ,,        ,,270,n,,0.32,n,,Metolachlor
Metribuzin (21087-64-9),21087-64-9,160,n,2100,n,        ,,        ,,49,n,,0.015,n,,Metribuzin
Metsulfuron-methyl (74223-64-6),74223-64-6,1600,n,21000,n,        ,,        ,,490,n,,0.19,n,,Metsulfuron-methyl
Mineral oils (8012-95-1),8012-95-1,23000,ns,350000,nms,        ,,        ,,6000,n,,240,n,,Mineral oils
Mirex (2385-85-5),2385-85-5,0.036,c*,0.17,c,0.00055,c,0.0024,c,0.00088,c,,0.00063,c,,Mirex
Molinate (2212-67-1),2212-67-1,13,n,160,n,        ,,        ,,3,n,,0.0017,n,,Molinate
