Analyte,CAS No.,"Resident Soil
(mg/kg)",key,"Industrial Soil
(mg/kg)",key,"Resident Air
(ug/m3)",key,"Industrial Air
(ug/m3)",key,"Tapwater
(ug/L)",key,"MCL
(ug/L)","Risk-based
SSL
(mg/kg)",key,"MCL-based
SSL
(mg/kg)"
"Dinitrobenzene, 1,4-",100-25-4,6.3E+00,n,8.2E+01,n,        ,,        ,,2.0E+00,n,,1.8E-03,n,        
"Dinitro-o-cresol, 4,6-",534-52-1,5.1E+00,n,6.6E+01,n,        ,,        ,,1.5E+00,n,,2.6E-03,n,        
"Dinitro-o-cyclohexyl Phenol, 4,6-",131-89-5,1.3E+02,n,1.6E+03,n,        ,,        ,,2.3E+01,n,,7.7E-01,n,        
"Dinitrophenol, 2,4-",51-28-5,1.3E+02,n,1.6E+03,n,        ,,        ,,3.9E+01,n,,4.4E-02,n,        
"Dinitrotoluene Mixture, 2,4/2,6-",E1615210,8.0E-01,c,3.4E+00,c,        ,,        ,,1.1E-01,c,,1.5E-04,c,        
"Dinitrotoluene, 2,4-",121-14-2,1.7E+00,c*,7.4E+00,c,3.2E-02,c,1.4E-01,c,2.4E-01,c,,3.2E-04,c,        
"Dinitrotoluene, 2,6-",606-20-2,3.6E-01,c*,1.5E+00,c,        ,,        ,,4.9E-02,c,,6.7E-05,c,        
"Dinitrotoluene, 2-Amino-4,6-",35572-78-2,1.5E+02,n,2.3E+03,n,        ,,        ,,3.9E+01,n,,3.0E-02,n,        
"Dinitrotoluene, 4-Amino-2,6-",19406-51-0,1.5E+02,n,2.3E+03,n,        ,,        ,,3.9E+01,n,,3.0E-02,n,        
"Dinitrotoluene, Technical grade",25321-14-6,1.2E+00,c*,5.1E+00,c,        ,,        ,,1.0E-01,c,,1.4E-04,c,        
Dinoseb,88-85-7,6.3E+01,n,8.2E+02,n,        ,,        ,,1.5E+01,n,7.0E+00,1.3E-01,n,6.2E-02
"Dioxane, 1,4-",123-91-1,5.3E+00,c,2.4E+01,c,5.6E-01,c*,2.5E+00,c*,4.6E-01,c,,9.4E-05,c,        
Diphenamid,957-51-7,1.9E+03,n,2.5E+04,n,        ,,        ,,5.3E+02,n,,5.2E+00,n,        
Diphenyl Ether,101-84-8,3.4E+01,n,1.4E+02,n,4.2E-01,n,1.8E+00,n,8.3E-01,n,,3.4E-03,n,        
Diphenyl Sulfone,127-63-9,5.1E+01,n,6.6E+02,n,        ,,        ,,1.5E+01,n,,3.6E-02,n,        
Diphenylamine,122-39-4,6.3E+03,n,8.2E+04,n,        ,,        ,,1.3E+03,n,,2.3E+00,n,        
"Diphenylhydrazine, 1,2-",122-66-7,6.8E-01,c,2.9E+00,c,1.3E-02,c,5.6E-02,c,7.8E-02,c,,2.5E-04,c,        
Diquat,85-00-7,1.4E+02,n,1.8E+03,n,        ,,        ,,4.4E+01,n,2.0E+01,8.3E-01,n,3.7E-01
Direct Black 38,1937-37-7,7.6E-02,c,3.2E-01,c,2.0E-05,c,8.8E-05,c,1.1E-02,c,,5.3E+00,c,        
Direct Blue 6,2602-46-2,7.3E-02,c,3.1E-01,c,2.0E-05,c,8.8E-05,c,1.1E-02,c,,1.7E+01,c,        
Direct Brown 95,16071-86-6,8.1E-02,c,3.4E-01,c,2.0E-05,c,8.8E-05,c,1.2E-02,c,,1.6E-01,c,        
Disulfoton,298-04-4,2.5E+00,n,3.3E+01,n,        ,,        ,,5.0E-01,n,,9.4E-04,n,        
"Dithiane, 1,4-",505-29-3,7.8E+02,n,1.2E+04,n,        ,,        ,,2.0E+02,n,,9.7E-02,n,        
Diuron,330-54-1,1.3E+02,n,1.6E+03,n,        ,,        ,,3.6E+01,n,,1.5E-02,n,        
Dodine,2439-10-3,1.3E+03,n,1.6E+04,n,        ,,        ,,4.0E+02,n,,2.1E+00,n,        
Endosulfan,115-29-7,4.7E+02,n,7.0E+03,n,        ,,        ,,1.0E+02,n,,1.4E+00,n,        
Endothall,145-73-3,1.3E+03,n,1.6E+04,n,        ,,        ,,3.8E+02,n,1.0E+02,9.1E-02,n,2.4E-02
Endrin,72-20-8,1.9E+01,n,2.5E+02,n,        ,,        ,,2.3E+00,n,2.0E+00,9.2E-02,n,8.1E-02
Epichlorohydrin,106-89-8,1.9E+01,n,8.2E+01,n,1.0E+00,n,4.4E+00,n,2.0E+00,n,,4.5E-04,n,        
"Epoxybutane, 1,2-",106-88-7,1.6E+02,n,6.7E+02,n,2.1E+01,n,8.8E+01,n,4.2E+01,n,,9.2E-03,n,        
EPTC,759-94-4,3.9E+03,n,5.8E+04,n,        ,,        ,,7.5E+02,n,,4.0E-01,n,        
"Ethanol, 2-(2-methoxyethoxy)-",111-77-3,2.5E+03,n,3.3E+04,n,        ,,        ,,8.0E+02,n,,1.6E-01,n,        
Ethephon,16672-87-0,3.2E+02,n,4.1E+03,n,        ,,        ,,1.0E+02,n,,2.1E-02,n,        
Ethion,563-12-2,3.2E+01,n,4.1E+02,n,        ,,        ,,4.3E+00,n,,8.5E-03,n,        
"Ethoxyethanol Acetate, 2-",111-15-9,2.6E+03,n,1.4E+04,n,6.3E+01,n,2.6E+02,n,1.2E+02,n,,2.5E-02,n,        
"Ethoxyethanol, 2-",110-80-5,5.2E+03,n,4.7E+04,n,2.1E+02,n,8.8E+02,n,3.4E+02,n,,6.8E-02,n,        
Ethyl Acetate,141-78-6,6.2E+02,n,2.6E+03,n,7.3E+01,n,3.1E+02,n,1.4E+02,n,,3.1E-02,n,        
Ethyl Acrylate,140-88-5,4.7E+01,n,2.1E+02,n,8.3E+00,n,3.5E+01,n,1.4E+01,n,,3.2E-03,n,        
Ethyl Chloride (Chloroethane),75-00-3,1.4E+04,ns,5.7E+04,ns,1.0E+04,n,4.4E+04,n,2.1E+04,n,,5.9E+00,n,        
Ethyl Ether,60-29-7,1.6E+04,ns,2.3E+05,nms,        ,,        ,,3.9E+03,n,,8.8E-01,n,        
Ethyl Methacrylate,97-63-2,1.8E+03,ns,7.6E+03,ns,3.1E+02,n,1.3E+03,n,6.3E+02,n,,1.5E-01,n,        
Ethylbenzene,100-41-4,5.8E+00,c,2.5E+01,c,1.1E+00,c,4.9E+00,c,1.5E+00,c,7.0E+02,1.7E-03,c,7.8E-01
Ethylene Cyanohydrin,109-78-4,4.4E+03,n,5.7E+04,n,        ,,        ,,1.4E+03,n,,2.8E-01,n,        
Ethylene Diamine,107-15-3,7.0E+03,n,1.1E+05,nm,        ,,        ,,1.8E+03,n,,4.1E-01,n,        
Ethylene Glycol,107-21-1,1.3E+05,nm,1.6E+06,nm,4.2E+02,n,1.8E+03,n,4.0E+04,n,,8.1E+00,n,        
Ethylene Glycol Monobutyl Ether,111-76-2,6.3E+03,n,8.2E+04,n,1.7E+03,n,7.0E+03,n,2.0E+03,n,,4.1E-01,n,        
Ethylene Oxide,75-21-8,2.0E-03,c,2.5E-02,c,3.4E-04,c,4.1E-03,c,6.7E-04,c,,1.4E-07,c,        
Ethylene Thiourea,96-45-7,5.1E+00,n,5.1E+01,c**,2.2E-01,c,9.4E-01,c,1.6E+00,n,,3.6E-04,n,        
Ethyleneimine,151-56-4,2.7E-03,c,1.2E-02,c,1.5E-04,c,6.5E-04,c,2.4E-04,c,,5.2E-08,c,        
Ethylphthalyl Ethyl Glycolate,84-72-0,1.9E+05,nm,2.5E+06,nm,        ,,        ,,5.8E+04,n,,1.3E+02,n,        
Ethyl-p-nitrophenyl Phosphonate,2104-64-5,6.3E-01,n,8.2E+00,n,        ,,        ,,8.9E-02,n,,2.8E-03,n,        
Fenamiphos,22224-92-6,1.6E+01,n,2.1E+02,n,        ,,        ,,4.4E+00,n,,4.3E-03,n,        
Fenpropathrin,39515-41-8,1.6E+03,n,2.1E+04,n,        ,,        ,,6.4E+01,n,,2.9E+00,n,        
Fenvalerate,51630-58-1,1.6E+03,n,2.1E+04,n,        ,,        ,,5.0E+02,n,,3.2E+02,n,        
Fluometuron,2164-17-2,8.2E+02,n,1.1E+04,n,        ,,        ,,2.4E+02,n,,1.9E-01,n,        
Fluoride,16984-48-8,3.1E+03,n,4.7E+04,n,1.4E+01,n,5.7E+01,n,8.0E+02,n,4.0E+03,1.2E+02,n,6.0E+02
Fluorine (Soluble Fluoride),7782-41-4,4.7E+03,n,7.0E+04,n,1.4E+01,n,5.7E+01,n,1.2E+03,n,4.0E+03,1.8E+02,n,6.0E+02
Fluridone,59756-60-4,5.1E+03,n,6.6E+04,n,        ,,        ,,1.4E+03,n,,1.6E+02,n,        
Flurprimidol,56425-91-3,2.5E+03,n,3.3E+04,n,        ,,        ,,6.9E+02,n,,3.1E+00,n,        
Flusilazole,85509-19-9,1.3E+02,n,1.6E+03,n,        ,,        ,,3.1E+01,n,,5.1E+00,n,        
Flutolanil,66332-96-5,3.2E+04,n,4.1E+05,nm,        ,,        ,,7.9E+03,n,,4.2E+01,n,        
Fluvalinate,69409-94-5,6.3E+02,n,8.2E+03,n,        ,,        ,,2.0E+02,n,,2.9E+02,n,        
Folpet,133-07-3,5.7E+03,n,7.4E+04,n,        ,,        ,,1.6E+03,n,,3.9E-01,n,        
Fomesafen,72178-02-0,1.6E+02,n,2.1E+03,n,        ,,        ,,4.8E+01,n,,1.6E-01,n,        
Fonofos,944-22-9,1.3E+02,n,1.6E+03,n,        ,,        ,,2.4E+01,n,,4.7E-02,n,        
Formaldehyde,50-00-0,1.7E+01,c*,7.3E+01,c*,2.2E-01,c*,9.4E-01,c*,4.3E-01,c*,,8.7E-05,c*,        
Formic Acid,64-18-6,2.9E+01,n,1.2E+02,n,3.1E-01,n,1.3E+00,n,6.3E-01,n,,1.3E-04,n,        
Fosetyl-AL,39148-24-8,1.6E+05,nm,2.1E+06,nm,        ,,        ,,5.0E+04,n,,6.6E+02,n,        
Furazolidone,67-45-8,1.4E-01,c,6.0E-01,c,        ,,        ,,2.0E-02,c,,3.9E-05,c,        
Furfural,98-01-1,2.1E+02,n,2.6E+03,n,5.2E+01,n,2.2E+02,n,3.8E+01,n,,8.1E-03,n,        
Furium,531-82-8,3.6E-01,c,1.5E+00,c,6.5E-03,c,2.9E-02,c,5.1E-02,c,,6.8E-05,c,        
Furmecyclox,60568-05-0,1.8E+01,c,7.7E+01,c,3.3E-01,c,1.4E+00,c,1.1E+00,c,,1.2E-03,c,        
"Glufosinate, Ammonium",77182-82-2,3.8E+02,n,4.9E+03,n,        ,,        ,,1.2E+02,n,,2.6E-02,n,        
Glutaraldehyde,111-30-8,6.0E+03,n,7.0E+04,n,8.3E-02,n,3.5E-01,n,2.0E+03,n,,4.0E-01,n,        
Glycidyl,765-34-4,2.3E+01,n,2.1E+02,n,1.0E+00,n,4.4E+00,n,1.7E+00,n,,3.3E-04,n,        
Glyphosate,1071-83-6,6.3E+03,n,8.2E+04,n,        ,,        ,,2.0E+03,n,7.0E+02,8.8E+00,n,3.1E+00
Guanidine,113-00-8,7.8E+02,n,1.2E+04,n,        ,,        ,,2.0E+02,n,,4.5E-02,n,        
Guanidine Chloride,50-01-1,1.3E+03,n,1.6E+04,n,        ,,        ,,4.0E+02,n,,        ,n,        
Guanidine Nitrate,506-93-4,1.9E+03,n,2.5E+04,n,        ,,        ,,6.0E+02,n,,1.5E-01,n,        
"Haloxyfop, Methyl",69806-40-2,3.2E+00,n,4.1E+01,n,        ,,        ,,7.6E-01,n,,8.4E-03,n,        
Heptachlor,76-44-8,1.3E-01,c,6.3E-01,c,2.2E-03,c,9.4E-03,c,1.4E-03,c,4.0E-01,1.2E-04,c,3.3E-02
Heptachlor Epoxide,1024-57-3,7.0E-02,c*,3.3E-01,c*,1.1E-03,c,4.7E-03,c,1.4E-03,c*,2.0E-01,2.8E-05,c*,4.1E-03
"Heptanal, n-",111-71-7,2.4E+01,n,1.0E+02,n,3.1E+00,n,1.3E+01,n,6.3E+00,n,,1.4E-03,n,        
"Heptane, N-",142-82-5,2.2E+01,n,2.9E+02,ns,4.2E+02,n,1.8E+03,n,6.0E+00,n,,4.8E-02,n,        
Hexabromobenzene,87-82-1,1.6E+02,n,2.3E+03,n,        ,,        ,,4.0E+01,n,,2.3E-01,n,        
"Hexabromodiphenyl ether, 2,2',4,4',5,5'- (BDE-153)",68631-49-2,1.3E+01,n,1.6E+02,n,        ,,        ,,4.0E+00,n,,        ,n,        
Hexachlorobenzene,118-74-1,2.1E-01,c,9.6E-01,c,6.1E-03,c,2.7E-02,c,9.8E-03,c,1.0E+00,1.2E-04,c,1.3E-02
Hexachlorobutadiene,87-68-3,1.2E+00,c*,5.3E+00,c,1.3E-01,c,5.6E-01,c,1.4E-01,c*,,2.7E-04,c*,        
"Hexachlorocyclohexane, Alpha-",319-84-6,8.6E-02,c,3.6E-01,c,1.6E-03,c,6.8E-03,c,7.2E-03,c,,4.2E-05,c,        
"Hexachlorocyclohexane, Beta-",319-85-7,3.0E-01,c,1.3E+00,c,5.3E-03,c,2.3E-02,c,2.5E-02,c,,1.5E-04,c,        
"Hexachlorocyclohexane, Gamma- (Lindane)",58-89-9,5.7E-01,c*,2.5E+00,c,9.1E-03,c,4.0E-02,c,4.2E-02,c*,2.0E-01,2.4E-04,c*,1.2E-03
"Hexachlorocyclohexane, Technical",608-73-1,3.0E-01,c,1.3E+00,c,5.5E-03,c,2.4E-02,c,2.5E-02,c,,1.5E-04,c,        
Hexachlorocyclopentadiene,77-47-4,1.8E+00,n,7.5E+00,n,2.1E-01,n,8.8E-01,n,4.1E-01,n,5.0E+01,1.3E-03,n,1.6E-01
Hexachloroethane,67-72-1,1.8E+00,c*,8.0E+00,c*,2.6E-01,c,1.1E+00,c,3.3E-01,c*,,2.0E-04,c*,        
Hexachlorophene,70-30-4,1.9E+01,n,2.5E+02,n,        ,,        ,,6.0E+00,n,,8.0E+00,n,        
"Hexahydro-1,3,5-trinitro-1,3,5-triazine (RDX)",121-82-4,6.1E+00,c*,2.8E+01,c,        ,,        ,,7.0E-01,c*,,2.7E-04,c*,        
"Hexamethylene Diisocyanate, 1,6-",822-06-0,3.1E+00,n,1.3E+01,n,1.0E-02,n,4.4E-02,n,2.1E-02,n,,2.1E-04,n,        
Hexamethylphosphoramide,680-31-9,2.5E+01,n,3.3E+02,n,        ,,        ,,8.0E+00,n,,1.8E-03,n,        
"Hexane, N-",110-54-3,6.1E+02,ns,2.5E+03,ns,7.3E+02,n,3.1E+03,n,1.5E+03,n,,1.0E+01,n,        
Hexanedioic Acid,124-04-9,1.3E+05,nm,1.6E+06,nm,        ,,        ,,4.0E+04,n,,9.9E+00,n,        
"Hexanone, 2-",591-78-6,2.0E+02,n,1.3E+03,n,3.1E+01,n,1.3E+02,n,3.8E+01,n,,8.8E-03,n,        
Hexazinone,51235-04-2,2.1E+03,n,2.7E+04,n,        ,,        ,,6.4E+02,n,,3.0E-01,n,        
Hexythiazox,78587-05-0,1.6E+03,n,2.1E+04,n,        ,,        ,,1.1E+02,n,,5.0E-01,n,        
Hydramethylnon,67485-29-4,1.1E+03,n,1.4E+04,n,        ,,        ,,3.4E+02,n,,1.2E+05,n,        
Hydrazine,302-01-2,3.2E-02,c*,1.4E-01,c*,5.7E-04,c*,2.5E-03,c*,1.1E-03,c*,,2.2E-07,c*,        
Hydrazine Sulfate,10034-93-2,2.3E-01,c,1.1E+00,c,5.7E-04,c,2.5E-03,c,2.6E-02,c,,        ,c,        
Hydrogen Chloride,7647-01-0,2.8E+07,nm,1.2E+08,nm,2.1E+01,n,8.8E+01,n,4.2E+01,n,,        ,n,        
Hydrogen Fluoride,7664-39-3,3.1E+03,n,4.7E+04,n,1.5E+01,n,6.1E+01,n,2.8E+01,n,,        ,n,        
Hydrogen Sulfide,7783-06-4,2.8E+06,nm,1.2E+07,nm,2.1E+00,n,8.8E+00,n,4.2E+00,n,,        ,n,        
Hydroquinone,123-31-9,9.0E+00,c,3.8E+01,c,        ,,        ,,1.3E+00,c,,8.7E-04,c,        
Imazalil,35554-44-0,8.9E+00,c*,3.8E+01,c*,        ,,        ,,9.0E-01,c*,,1.5E-02,c*,        
Imazaquin,81335-37-7,1.6E+04,n,2.1E+05,nm,        ,,        ,,4.9E+03,n,,2.4E+01,n,        
Imazethapyr,81335-77-5,1.6E+05,nm,2.1E+06,nm,        ,,        ,,4.7E+04,n,,4.1E+01,n,        
Iodine,7553-56-2,7.8E+02,n,1.2E+04,n,        ,,        ,,2.0E+02,n,,1.2E+01,n,        
Iprodione,36734-19-7,2.5E+03,n,3.3E+04,n,        ,,        ,,7.4E+02,n,,2.2E-01,n,        
Iron,7439-89-6,5.5E+04,n,8.2E+05,nm,        ,,        ,,1.4E+04,n,,3.5E+02,n,        
Isobutyl Alcohol,78-83-1,2.3E+04,ns,3.5E+05,nms,        ,,        ,,5.9E+03,n,,1.2E+00,n,        
Isophorone,78-59-1,5.7E+02,c*,2.4E+03,c*,2.1E+03,n,8.8E+03,n,7.8E+01,c*,,2.6E-02,c*,        
Isopropalin,33820-53-0,1.2E+03,n,1.8E+04,n,        ,,        ,,4.0E+01,n,,9.2E-01,n,        
Isopropanol,67-63-0,5.6E+03,n,2.4E+04,n,2.1E+02,n,8.8E+02,n,4.1E+02,n,,8.4E-02,n,        
Isopropyl Methyl Phosphonic Acid,1832-54-8,6.3E+03,n,8.2E+04,n,        ,,        ,,2.0E+03,n,,4.3E-01,n,        
Isoxaben,82558-50-7,3.2E+03,n,4.1E+04,n,        ,,        ,,7.3E+02,n,,2.0E+00,n,        
JP-7,E1737665,4.3E+08,nm,1.8E+09,nm,3.1E+02,n,1.3E+03,n,6.3E+02,n,,        ,n,        
Lactofen,77501-63-4,5.1E+02,n,6.6E+03,n,        ,,        ,,1.0E+02,n,,4.6E+00,n,        
Lactonitrile,78-97-7,1.3E+01,n,1.6E+02,n,        ,,        ,,4.0E+00,n,,8.1E-04,n,        
Lewisite,541-25-3,3.9E-01,n,5.8E+00,n,        ,,        ,,9.0E-02,n,,3.8E-05,n,        
Linuron,330-55-2,4.9E+02,n,6.3E+03,n,        ,,        ,,1.3E+02,n,,1.1E-01,n,        
Lithium,7439-93-2,1.6E+02,n,2.3E+03,n,        ,,        ,,4.0E+01,n,,1.2E+01,n,        
Malathion,121-75-5,1.3E+03,n,1.6E+04,n,        ,,        ,,3.9E+02,n,,1.0E-01,n,        
Maleic Anhydride,108-31-6,6.3E+03,n,8.0E+04,n,7.3E-01,n,3.1E+00,n,1.9E+03,n,,3.8E-01,n,        
Maleic Hydrazide,123-33-1,3.2E+04,n,4.1E+05,nm,        ,,        ,,1.0E+04,n,,2.1E+00,n,        
Malononitrile,109-77-3,6.3E+00,n,8.2E+01,n,        ,,        ,,2.0E+00,n,,4.1E-04,n,        
Mancozeb,8018-01-7,1.9E+03,n,2.5E+04,n,        ,,        ,,5.4E+02,n,,7.6E-01,n,        
Maneb,12427-38-2,3.2E+02,n,4.1E+03,n,        ,,        ,,9.8E+01,n,,1.4E-01,n,        
Manganese (Diet),7439-96-5,        ,,        ,,        ,,        ,,        ,,,        ,,        
Manganese (Non-diet),7439-96-5,1.8E+03,n,2.6E+04,n,5.2E-02,n,2.2E-01,n,4.3E+02,n,,2.8E+01,n,        
MCPA,94-74-6,3.2E+01,n,4.1E+02,n,        ,,        ,,7.5E+00,n,,2.0E-03,n,        
MCPB,94-81-5,2.8E+02,n,3.6E+03,n,        ,,        ,,6.5E+01,n,,2.6E-02,n,        
MCPP,93-65-2,6.3E+01,n,8.2E+02,n,        ,,        ,,1.6E+01,n,,4.7E-03,n,        
Mephosfolan,950-10-7,5.7E+00,n,7.4E+01,n,        ,,        ,,1.8E+00,n,,2.6E-03,n,        
Mepiquat Chloride,24307-26-4,1.9E+03,n,2.5E+04,n,        ,,        ,,6.0E+02,n,,2.0E-01,n,        
"Mercaptobenzothiazole, 2-",149-30-4,4.9E+01,c**,2.1E+02,c*,        ,,        ,,6.3E+00,c*,,1.8E-02,c*,        
Merphos,150-50-5,2.3E+00,n,3.5E+01,n,        ,,        ,,6.0E-01,n,,5.9E-02,n,        
Merphos Oxide,78-48-8,6.3E+00,n,8.2E+01,n,        ,,        ,,2.8E-01,n,,1.4E-03,n,        
Metalaxyl,57837-19-1,3.8E+03,n,4.9E+04,n,        ,,        ,,1.2E+03,n,,3.3E-01,n,        
Methacrylonitrile,126-98-7,7.5E+00,n,1.0E+02,n,3.1E+01,n,1.3E+02,n,1.9E+00,n,,4.3E-04,n,        
Methamidophos,10265-92-6,3.2E+00,n,4.1E+01,n,        ,,        ,,1.0E+00,n,,2.1E-04,n,        
Methanol,67-56-1,1.2E+05,nms,1.2E+06,nms,2.1E+04,n,8.8E+04,n,2.0E+04,n,,4.1E+00,n,        
Methidathion,950-37-8,9.5E+01,n,1.2E+03,n,        ,,        ,,2.9E+01,n,,7.1E-03,n,        
Methomyl,16752-77-5,1.6E+03,n,2.1E+04,n,        ,,        ,,5.0E+02,n,,1.1E-01,n,        
"Methoxy-5-nitroaniline, 2-",99-59-2,1.1E+01,c,4.7E+01,c,2.0E-01,c,8.8E-01,c,1.5E+00,c,,5.3E-04,c,        
Methoxychlor,72-43-5,3.2E+02,n,4.1E+03,n,        ,,        ,,3.7E+01,n,4.0E+01,2.0E+00,n,2.2E+00
"Methoxyethanol Acetate, 2-",110-49-6,1.1E+02,n,5.1E+02,n,1.0E+00,n,4.4E+00,n,2.1E+00,n,,4.2E-04,n,        
"Methoxyethanol, 2-",109-86-4,3.3E+02,n,3.5E+03,n,2.1E+01,n,8.8E+01,n,2.9E+01,n,,5.9E-03,n,        
Methyl Acetate,79-20-9,7.8E+04,ns,1.2E+06,nms,        ,,        ,,2.0E+04,n,,4.1E+00,n,        
Methyl Acrylate,96-33-3,1.5E+02,n,6.1E+02,n,2.1E+01,n,8.8E+01,n,4.2E+01,n,,8.9E-03,n,        
Methyl Ethyl Ketone (2-Butanone),78-93-3,2.7E+04,n,1.9E+05,nms,5.2E+03,n,2.2E+04,n,5.6E+03,n,,1.2E+00,n,        
Methyl Hydrazine,60-34-4,1.4E-01,c**,6.2E-01,c**,2.8E-03,c**,1.2E-02,c**,5.6E-03,c**,,1.3E-06,c**,        
Methyl Isobutyl Ketone (4-methyl-2-pentanone),108-10-1,3.3E+04,ns,1.4E+05,nms,3.1E+03,n,1.3E+04,n,6.3E+03,n,,1.4E+00,n,        
Methyl Isocyanate,624-83-9,4.6E+00,n,1.9E+01,n,1.0E+00,n,4.4E+00,n,2.1E+00,n,,5.9E-04,n,        
Methyl Methacrylate,80-62-6,4.4E+03,ns,1.9E+04,ns,7.3E+02,n,3.1E+03,n,1.4E+03,n,,3.0E-01,n,        
Methyl methanesulfonate,66-27-3,5.5E+00,c,2.3E+01,c,1.0E-01,c,4.4E-01,c,7.9E-01,c,,1.6E-04,c,        
Methyl Parathion,298-00-0,1.6E+01,n,2.1E+02,n,        ,,        ,,4.5E+00,n,,7.4E-03,n,        
Methyl Phosphonic Acid,993-13-5,3.8E+03,n,4.9E+04,n,        ,,        ,,1.2E+03,n,,2.4E-01,n,        
Methyl Styrene (Mixed Isomers),25013-15-4,3.2E+02,n,2.6E+03,ns,4.2E+01,n,1.8E+02,n,2.3E+01,n,,3.8E-02,n,        
Methyl tert-Butyl Ether (MTBE),1634-04-4,4.7E+01,c,2.1E+02,c,1.1E+01,c,4.7E+01,c,1.4E+01,c,,3.2E-03,c,        
"Methyl-1,4-benzenediamine dihydrochloride, 2-",615-45-2,1.9E+01,n,2.5E+02,n,        ,,        ,,6.0E+00,n,,3.6E-03,n,        
"Methyl-2-Pentanol, 4-",108-11-2,5.4E+04,ns,2.3E+05,nms,3.1E+03,n,1.3E+04,n,6.3E+03,n,,1.4E+00,n,        
"Methyl-5-Nitroaniline, 2-",99-55-8,6.0E+01,c*,2.6E+02,c*,        ,,        ,,8.2E+00,c*,,4.6E-03,c*,        
"Methylaniline Hydrochloride, 2-",636-21-5,4.2E+00,c,1.8E+01,c,7.6E-02,c,3.3E-01,c,6.0E-01,c,,2.6E-04,c,        
Methylarsonic acid,124-58-3,6.3E+02,n,8.2E+03,n,        ,,        ,,2.0E+02,n,,5.8E-02,n,        
"Methylbenzene,1-4-diamine monohydrochloride, 2-",74612-12-7,1.3E+01,n,1.6E+02,n,        ,,        ,,4.0E+00,n,,        ,n,        
"Methylbenzene-1,4-diamine sulfate, 2-",615-50-9,5.4E+00,c**,2.3E+01,c*,        ,,        ,,7.8E-01,c**,,        ,c**,        
"Methylcholanthrene, 3-",56-49-5,5.5E-03,c,1.0E-01,c,1.6E-04,c,1.9E-03,c,1.1E-03,c,,2.2E-03,c,        
Methylene Chloride,75-09-2,5.7E+01,c**,1.0E+03,c**,1.0E+02,c**,1.2E+03,c**,1.1E+01,c**,5.0E+00,2.9E-03,c**,1.3E-03
"Methylene-bis(2-chloroaniline), 4,4'-",101-14-4,1.2E+00,c,2.3E+01,c*,2.4E-03,c,2.9E-02,c,1.6E-01,c,,1.8E-03,c,        
"Methylene-bis(N,N-dimethyl) Aniline, 4,4'-",101-61-1,1.2E+01,c,5.0E+01,c,2.2E-01,c,9.4E-01,c,4.8E-01,c,,2.6E-03,c,        
"Methylenebisbenzenamine, 4,4'-",101-77-9,3.4E-01,c,1.4E+00,c,6.1E-03,c,2.7E-02,c,4.7E-02,c,,2.1E-04,c,        
Methylenediphenyl Diisocyanate,101-68-8,8.5E+05,nm,3.6E+06,nm,6.3E-01,n,2.6E+00,n,        ,,,        ,,        
"Methyl-N-nitro-N-nitrosoguanidine, N-",70-25-7,6.5E-02,c,2.8E-01,c,1.2E-03,c,5.1E-03,c,9.4E-03,c,,3.2E-06,c,        
"Methylstyrene, Alpha-",98-83-9,5.5E+03,ns,8.2E+04,ns,        ,,        ,,7.8E+02,n,,1.2E+00,n,        
Metolachlor,51218-45-2,9.5E+03,n,1.2E+05,nm,        ,,        ,,2.7E+03,n,,3.2E+00,n,        
Metribuzin,21087-64-9,1.6E+03,n,2.1E+04,n,        ,,        ,,4.9E+02,n,,1.5E-01,n,        
Metsulfuron-methyl,74223-64-6,1.6E+04,n,2.1E+05,nm,        ,,        ,,4.9E+03,n,,1.9E+00,n,        
Mineral oils,8012-95-1,2.3E+05,nms,3.5E+06,nms,        ,,        ,,6.0E+04,n,,2.4E+03,n,        
Mirex,2385-85-5,3.6E-02,c,1.7E-01,c,5.5E-04,c,2.4E-03,c,8.8E-04,c,,6.3E-04,c,        
Molinate,2212-67-1,1.3E+02,n,1.6E+03,n,        ,,        ,,3.0E+01,n,,1.7E-02,n,        
Molybdenum,7439-98-7,3.9E+02,n,5.8E+03,n,        ,,        ,,1.0E+02,n,,2.0E+00,n,        
Monochloramine,10599-90-3,7.8E+03,n,1.2E+05,nm,        ,,        ,,2.0E+03,n,4.0E+03,        ,n,        
Monomethylaniline,100-61-8,1.3E+02,n,1.6E+03,n,        ,,        ,,3.8E+01,n,,1.4E-02,n,        
Myclobutanil,88671-89-0,1.6E+03,n,2.1E+04,n,        ,,        ,,4.5E+02,n,,5.6E+00,n,        
"N,N'-Diphenyl-1,4-benzenediamine",74-31-7,1.9E+01,n,2.5E+02,n,        ,,        ,,3.6E+00,n,,3.7E-01,n,        
Naled,300-76-5,1.6E+02,n,2.3E+03,n,        ,,        ,,4.0E+01,n,,1.8E-02,n,        
"Naphtha, High Flash Aromatic (HFAN)",64742-95-6,2.3E+03,n,3.5E+04,n,1.0E+02,n,4.4E+02,n,1.5E+02,n,,        ,n,        
"Naphthylamine, 2-",91-59-8,3.0E-01,c,1.3E+00,c,        ,,        ,,3.9E-02,c,,2.0E-04,c,        
Napropamide,15299-99-7,7.6E+03,n,9.8E+04,n,        ,,        ,,2.0E+03,n,,1.3E+01,n,        
Nickel Acetate,373-02-4,6.7E+02,n,8.1E+03,n,1.1E-02,c**,4.7E-02,c**,2.2E+02,n,,4.5E-02,n,        
