Analyte,CAS No.,"Resident Soil
(mg/kg)",key,"Industrial Soil
(mg/kg)",key,"Resident Air
(ug/m3)",key,"Industrial Air
(ug/m3)",key,"Tapwater
(ug/L)",key,"MCL
(ug/L)","Risk-based
SSL
(mg/kg)",key,"MCL-based
SSL
(mg/kg)"
Mercuric Chloride (and other Mercury salts),7487-94-7,2.3E+01,n,3.5E+02,n,3.1E-01,n,1.3E+00,n,5.7E+00,n,2.0E+00,        ,n,        
Mercury (elemental),7439-97-6,1.1E+01,ns,4.6E+01,ns,3.1E-01,n,1.3E+00,n,6.3E-01,n,2.0E+00,3.3E-02,n,1.0E-01
Methyl Mercury,22967-92-6,7.8E+00,n,1.2E+02,n,        ,,        ,,2.0E+00,n,,1.4E+01,n,        
"Methylnaphthalene, 1-",90-12-0,1.8E+01,c,7.3E+01,c,        ,,        ,,1.1E+00,c,,6.0E-03,c,        
"Methylnaphthalene, 2-",91-57-6,2.4E+02,n,3.0E+03,n,        ,,        ,,3.6E+01,n,,1.9E-01,n,        
Monoaluminum phosphate,13530-50-2,3.8E+06,nm,5.7E+07,nm,        ,,        ,,9.7E+05,n,,        ,n,        
Monoammonium phosphate,7722-76-1,3.8E+06,nm,5.7E+07,nm,        ,,        ,,9.7E+05,n,,        ,n,        
Monocalcium phosphate,7758-23-8,3.8E+06,nm,5.7E+07,nm,        ,,        ,,9.7E+05,n,,        ,n,        
Monomagnesium phosphate,7757-86-0,3.8E+06,nm,5.7E+07,nm,        ,,        ,,9.7E+05,n,,        ,n,        
Monopotassium phosphate,7778-77-0,3.8E+06,nm,5.7E+07,nm,        ,,        ,,9.7E+05,n,,        ,n,        
Monosodium phosphate,7558-80-7,3.8E+06,nm,5.7E+07,nm,        ,,        ,,9.7E+05,n,,        ,n,        
Naphthalene,91-20-3,3.8E+00,c*,1.7E+01,c*,8.3E-02,c*,3.6E-01,c*,1.7E-01,c*,,5.4E-04,c*,        
"Nitropyrene, 4-",57835-92-4,4.2E-01,c,1.8E+00,c,2.6E-02,c,1.1E-01,c,1.9E-02,c,,3.3E-03,c,        
"Octyl Phthalate, di-N-",117-84-0,6.3E+02,n,8.2E+03,n,        ,,        ,,2.0E+02,n,,5.7E+01,n,        
"Pentachlorobiphenyl, 2,3,3',4,4'- (PCB 105)",32598-14-4,1.2E-01,c*,4.9E-01,c*,2.5E-03,c,1.1E-02,c,4.0E-03,c,,1.0E-03,c,        
